target,model,horizon,origin,y_true,y_pred,lo95,hi95,target_date,resid,resid_mean,resid_std,z,ewma,alert_spike,warn_spike,mean_shift,alert_drift,std_shift,alert_varbreak,severity
ron95,"ETS(add,add,None)",1,2024-01-31,2.05,2.0493617534777977,,,2024-01-31,0.0006382465222021239,,,,0.0006382465222021239,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-02-29,2.05,2.049374876158366,,,2024-02-29,0.0006251238416337124,,,,0.0006356219860884415,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-03-31,2.05,2.0493942381494903,,,2024-03-31,0.0006057618505095341,,,,0.0006296499589726601,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-04-30,2.05,2.049399955332419,,,2024-04-30,0.0006000446675806792,,,,0.0006237289006942639,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-05-31,2.05,2.0494117271905288,,,2024-05-31,0.0005882728094710465,,,,0.0006166376824496205,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-06-30,2.05,2.0494238794627715,,,2024-06-30,0.0005761205372283307,,,,0.0006085342534053625,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-07-31,2.05,2.049434024948505,,,2024-07-31,0.0005659750514950268,,,,0.0006000224130232954,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-08-31,2.05,2.049445868721356,,,2024-08-31,0.000554131278643677,,,,0.0005908441861473717,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-09-30,2.05,2.0494545156326835,,,2024-09-30,0.0005454843673162735,,,,0.000581772222381152,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-10-31,2.05,2.0494642527180558,,,2024-10-31,0.0005357472819440545,,,,0.0005725672342937326,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-11-30,2.05,2.0494736524374013,,,2024-11-30,0.0005263475625985059,,,,0.0005633232999546873,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2024-12-31,2.05,2.0494826977254834,,,2024-12-31,0.0005173022745164069,,,,0.0005541190948670312,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-01-31,2.05,2.0494914904298023,,,2025-01-31,0.0005085095701975462,,,,0.0005449971899331342,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-02-28,2.05,2.0494999722484053,,,2025-02-28,0.0005000277515945228,,,,0.000536003302265412,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-03-31,2.05,2.049508166293131,,,2025-03-31,0.0004918337068686718,,,,0.000527169383186064,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-04-30,2.05,2.0495160543386977,,,2025-04-30,0.0004839456613021653,,,,0.0005185246388092842,0,0,,0,,0,OK
ron95,"ETS(add,add,None)",1,2025-05-31,2.05,2.049523783962706,,,2025-05-31,0.00047621603729375295,,,,0.0005100629185061779,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-01-31,3.47,3.5479988474214883,3.308539585073529,3.787458109769448,2024-01-31,-0.0779988474214881,,,,-0.0779988474214881,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-02-29,3.47,3.538762526419407,3.300893947342162,3.776631105496652,2024-02-29,-0.06876252641940672,,,,-0.07615158322107184,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-03-31,3.47,3.482498108873788,3.246401378906108,3.718594838841468,2024-03-31,-0.012498108873787661,,,,-0.06342088835161501,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-04-30,3.47,3.555963047427898,3.3223265904438666,3.789599504411929,2024-04-30,-0.08596304742789762,,,,-0.06792932016687153,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-05-31,3.47,3.3451358925986634,3.112726296030151,3.577545489167176,2024-05-31,0.1248641074013368,,,,-0.029370634653229866,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-06-30,3.47,3.532362012486681,3.2999669763792494,3.7647570485941135,2024-06-30,-0.06236201248668083,,,,-0.03596891021992006,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-07-31,3.47,3.4831395254742934,3.2524256738344084,3.7138533771141775,2024-07-31,-0.013139525474293201,,,,-0.03140303327079469,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-08-31,3.46,3.3217044110130214,3.093181768065317,3.5502270539607257,2024-08-31,0.13829558898697858,,,,0.002536691180759963,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-09-30,3.2575,3.4154367917089177,3.186887456004838,3.643986127412997,2024-09-30,-0.15793679170891783,,,,-0.0295580053971756,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-10-31,3.19,3.234269675791989,3.0041719362027144,3.464367415381264,2024-10-31,-0.04426967579198893,,,,-0.03250033947613827,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-11-30,3.19,3.1744242068469117,2.9461595331499746,3.402688880543848,2024-11-30,0.015575793153088213,,,,-0.022885112950292975,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2024-12-31,3.2125,3.2148939588140983,2.988652469198088,3.441135448430109,2024-12-31,-0.002393958814098429,,,,-0.018786882123054065,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-01-31,3.37,3.306507295002433,3.082249306241636,3.5307652837632304,2025-01-31,0.0634927049975671,,,,-0.0023309646989298338,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-02-28,3.43,3.35067370576402,3.1277944623312157,3.573552949196825,2025-02-28,0.07932629423598003,,,,0.014000487088052141,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-03-31,3.305,3.4430047459453315,3.221136797677572,3.664872694213091,2025-03-31,-0.1380047459453313,,,,-0.016400559518624548,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-04-30,3.2425,3.189893528152246,2.967216289541424,3.4125707667630683,2025-04-30,0.05260647184775413,,,,-0.0025991532453488106,0,0,,0,,0,OK
ron97,"ARIMAX(1, 1, 1)",1,2025-05-31,3.1100000000000003,3.229119949681176,3.0078999547756613,3.450339944586691,2025-05-31,-0.1191199496811759,,,,-0.02590331253251423,0,0,,0,,0,OK
